Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Equipment Rentals or Lease,2326,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9410
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fleet Management Equipment Charges,49630,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9440
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Parking,850,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9470
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Computer Services-from IT,153058,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9480
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Equipment,375000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9760
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Furniture,5000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9800
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Software,60000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9840
FY19,Expense,Public Services,Water,Water Replacement,Capital Outlays,Construction In Progress,11977000,,Capital Projects,9000 - Capital Projects,5911,9880
FY19,Expense,Public Services,Water,WSS Revenue Bonds 2018,Capital Outlays,Construction In Progress,26021000,,Capital Projects,9000 - Capital Projects,5915,9880
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Full Time Employees,282857,,Administration,1000 - Administration,1010,7020
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Employers FICA,21647,,Administration,1000 - Administration,1010,7105
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Hospitalization Insurance,45360,,Administration,1000 - Administration,1010,7110
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,35066,,Administration,1000 - Administration,1010,7115
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Retirement Fund Contribution,64491,,Administration,1000 - Administration,1010,7120
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Unemployment Compensation,384,,Administration,1000 - Administration,1010,7135
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Supplies,Supplies,15000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Supplies,Subscriptions and Publications,500,,Administration,1000 - Administration,1010,7910
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,100,,Administration,1000 - Administration,1010,8505
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Postage,1000,,Administration,1000 - Administration,1010,8510
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Printing & Publishing,3000,,Administration,1000 - Administration,1010,9000
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Professional Development,10000,,Administration,1000 - Administration,1010,9100
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Memberships,2100,,Administration,1000 - Administration,1010,9150
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,70,,Administration,1000 - Administration,1010,9410
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,47656,,Administration,1000 - Administration,1010,9430
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,311 Call Center Services,1040,,Administration,1000 - Administration,1010,9450
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Employee Parking,8016,,Administration,1000 - Administration,1010,9470
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Computer Services-from IT,75029,,Administration,1000 - Administration,1010,9480
FY19,Expense,Purchasing,Purchasing,General Fund Operating,Capital Outlays,Computer Equipment,2000,,Administration,1000 - Administration,1010,9805
FY19,Expense,Retirement Activities,City Retirement System Office,City Retirement System Office,Personnel Services,Full Time Employees,318612,,Administration,1000 - Administration,7050,7020
FY19,Expense,Retirement Activities,City Retirement System Office,City Retirement System Office,Personnel Services,Employers FICA,24372,,Administration,1000 - Administration,7050,7105
FY19,Expense,Retirement Activities,City Retirement System Office,City Retirement System Office,Personnel Services,Hospitalization Insurance,57600,,Administration,1000 - Administration,7050,7110
FY19,Expense,Retirement Activities,City Retirement System Office,City Retirement System Office,Personnel Services,Retiree Health Care-OPEB,39468,,Administration,1000 - Administration,7050,7115
FY19,Expense,Retirement Activities,City Retirement System Office,City Retirement System Office,Personnel Services,Retirement Fund Contribution,72588,,Administration,1000 - Administration,7050,7120
FY19,Expense,Retirement Activities,City Retirement System Office,City Retirement System Office,Personnel Services,Unemployment Compensation,432,,Administration,1000 - Administration,7050,7135
FY19,Expense,Retirement Activities,City Retirement System Office,City Retirement System Office,Other Services and Charges,Claims,2016,,Administration,1000 - Administration,7050,8450
FY19,Expense,Retirement Activities,Retiree Health Care,General Retiree Health Care Fund,Other Services and Charges,Retiree Health Claims,6234080,,Retiree Health Care Ben,2000 - Retiree Health Care Ben,7371,8375
FY19,Expense,Retirement Activities,Retiree Health Care,Police Officer Retiree Health,Other Services and Charges,Retiree Health Claims,2936352,,Retiree Health Care Ben,2000 - Retiree Health Care Ben,7372,8375
FY19,Expense,Retirement Activities,Retiree Health Care,Firefighter Retiree Health Care,Other Services and Charges,Retiree Health Claims,3239468,,Retiree Health Care Ben,2000 - Retiree Health Care Ben,7373,8375
FY19,Expense,Retirement Activities,Retiree Health Care,General Retiree Health Care Fund,Other Services and Charges,Retiree Health-Other Ins Co,908000,,DC Retiree Health Plan,3000 - DC Retiree Health Plan,7371,8380
FY19,Expense,Retirement Activities,Retiree Health Care,Police Officer Retiree Health,Other Services and Charges,Retiree Health-Other Ins Co,252000,,DC Retiree Health Plan,3000 - DC Retiree Health Plan,7372,8380
FY19,Expense,Retirement Activities,Retiree Health Care,Firefighter Retiree Health Care,Other Services and Charges,Retiree Health-Other Ins Co,110000,,DC Retiree Health Plan,3000 - DC Retiree Health Plan,7373,8380
FY19,Expense,Retirement Activities,Retiree Health Care,Library Retiree Health Care Fund,Other Services and Charges,Retiree Health-Other Ins Co,78500,,DC Retiree Health Plan,3000 - DC Retiree Health Plan,7374,8380
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Personnel Services,Full Time Employees,248559,,Administration,1000 - Administration,6800,7020
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Personnel Services,Employers FICA,19016,,Administration,1000 - Administration,6800,7105
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Personnel Services,Hospitalization Insurance,32400,,Administration,1000 - Administration,6800,7110
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Personnel Services,Retiree Health Care-OPEB,30866,,Administration,1000 - Administration,6800,7115
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Personnel Services,Retirement Fund Contribution,56763,,Administration,1000 - Administration,6800,7120
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Personnel Services,Unemployment Compensation,336,,Administration,1000 - Administration,6800,7135
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Supplies,Supplies,5000,,Administration,1000 - Administration,6800,7520
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Supplies,Subscriptions and Publications,5944,,Administration,1000 - Administration,6800,7910
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Claims,9873,,Administration,1000 - Administration,6800,8450
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Professional Development,5000,,Administration,1000 - Administration,6800,9100
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Memberships,1250,,Administration,1000 - Administration,6800,9150
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Equipment Repairs,20846,,Administration,1000 - Administration,6800,9310
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Equipment Rentals or Lease,5846,,Administration,1000 - Administration,6800,9410
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,108328,,Administration,1000 - Administration,6800,9430
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Fleet Management Equipment Charges,3789,,Administration,1000 - Administration,6800,9440
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,311 Call Center Services,173,,Administration,1000 - Administration,6800,9450
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Employee Parking,38702,,Administration,1000 - Administration,6800,9470
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Financing,Operating Transfers-A87 Cost,100024,,Administration,1000 - Administration,6800,9952
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Contractual Services,569400,,IT-Development & Solutions,2000 - IT-Development & Solutions,6800,8010
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Maintenance Service,1641411,,IT-Development & Solutions,2000 - IT-Development & Solutions,6800,9340
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Supplies,Supplies,3000,,IT-Operations-Data Ctr Mgmt,2010 - IT-Operations-Data Ctr Mgmt,6800,7520
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Contractual Services,1092862,,IT-Operations-Data Ctr Mgmt,2010 - IT-Operations-Data Ctr Mgmt,6800,8010
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Maintenance Service,576105,,IT-Operations-Data Ctr Mgmt,2010 - IT-Operations-Data Ctr Mgmt,6800,9340
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Supplies,Supplies,3000,,IT-Communications-Network,3100 - IT-Communications-Network,6800,7520
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Contractual Services,546340,,IT-Communications-Network,3100 - IT-Communications-Network,6800,8010
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Telephone,204022,,IT-Communications-Network,3100 - IT-Communications-Network,6800,8500
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Maintenance Service,193361,,IT-Communications-Network,3100 - IT-Communications-Network,6800,9340
FY19,Expense,Technology & Change Management,Information Technology,Information Tech-Operating,Other Services and Charges,Equipment Rentals or Lease,191946,,IT-Communications-Network,3100 - IT-Communications-Network,6800,9410
FY19,Expense,Technology & Change Management,Information Technology,Information Technology-Capital,Capital Outlays,Equipment,615430,,IT Projects-Capital Fund,5000 - IT Projects-Capital Fund,6810,9760
FY19,Expense,Technology & Change Management,Information Technology,Financial Management System,Other Services and Charges,Contractual Services,1168229,,FMS-Implementation,6200 - FMS-Implementation,6820,8010
FY19,Expense,Technology & Change Management,Information Technology,Capital Improvement,Other Services and Charges,Contractual Services,558413,,Capital Projects-CABLE TV,9000 - Capital Projects-CABLE TV,4010,8010
FY19,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Full Time Employees,796839,,Administration,1000 - Administration,1010,7020
FY19,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Employers FICA,60940,,Administration,1000 - Administration,1010,7105
FY19,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Hospitalization Insurance,187920,,Administration,1000 - Administration,1010,7110
FY19,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,98477,,Administration,1000 - Administration,1010,7115
FY19,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Retirement Fund Contribution,181102,,Administration,1000 - Administration,1010,7120
FY19,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Unemployment Compensation,1101,,Administration,1000 - Administration,1010,7135
FY19,Expense,Treasury,Treasurer,General Fund Operating,Supplies,Supplies,12000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Treasury,Treasurer,General Fund Operating,Supplies,Subscriptions and Publications,500,,Administration,1000 - Administration,1010,7910
