Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,106625
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,8500,Telephone,4000
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,7000
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Supplies,7520,Supplies,169
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5140,Parking Operating,Supplies,7910,Subscriptions and Publications,106
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Other Services and Charges,9150,Memberships,1061
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Other Services and Charges,9130,Local Business Expense,212
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Supplies,7910,Subscriptions and Publications,212
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Other Services and Charges,9130,Local Business Expense,212
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Other Services and Charges,8010,Contractual Services,37746
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Other Services and Charges,9000,Printing & Publishing,637
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Other Services and Charges,9150,Memberships,1061
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5140,Parking Operating,Other Services and Charges,9100,Professional Development,1062
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Other Services and Charges,9100,Professional Development,2081
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Other Services and Charges,8010,Contractual Services,37746
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Other Services and Charges,8800,Community Promotion,212
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5140,Parking Operating,Other Services and Charges,8010,Contractual Services,19151
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Other Services and Charges,8800,Community Promotion,212
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Other Services and Charges,9100,Professional Development,2081
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5140,Parking Operating,Supplies,7520,Supplies,103
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Other Services and Charges,9000,Printing & Publishing,637
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5900,Sewer Disposal Operations,Supplies,7520,Supplies,169
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5910,Water Operations,Supplies,7910,Subscriptions and Publications,212
FY17,Expense,Enterprise Services,Environmental Services,8000,8000 - Energy & Sustainability,5140,Parking Operating,Other Services and Charges,9150,Memberships,743
FY17,Expense,Fiscal Services,General Administration,8000,8000 - Lease Agreement,1010,General Fund Operating,Other Services and Charges,9630,Property Taxes,5000
FY17,Expense,Fiscal Services,General Administration,8000,8000 - Lease Agreement,1010,General Fund Operating,Debt Service,9930,Paying Agent Fees,4400
FY17,Expense,Fiscal Services,General Administration,8000,8000 - Lease Agreement,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,502815
FY17,Expense,Fiscal Services,General Administration,8000,8000 - Lease Agreement,1010,General Fund Operating,Other Financing,9951,Operating Trans Out-Subsidies,2817508
FY17,Revenue,Fiscal Services,General Administration,8000,8000 - Lease Agreement,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,3636379
FY17,Revenue,Community Services,Community Development Services,8000,8000 - Receivership,2361,Receivership,Investment Income & Rentals,6651,Interest on Investment,900
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Financing,9955,Operating Trans-Misc,22188
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Personal Services,7120,Retirement Fund Contribution,49814
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,9100,Professional Development,3500
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,9410,Equipment Rentals or Lease,181
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,9470,Employee Parking,5364
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Personal Services,7105,Employers FICA,16219
FY17,Revenue,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Licenses & Permits,4930,Sidewalks-Form-Final Inspection,25000
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,9450,311 Call Center Services,13931
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,9440,Fleet Management Equipment Charges,13167
FY17,Revenue,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Charges for Services,6260,Service Fees-General,6500
FY17,Revenue,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Licenses & Permits,4796,Sidewalks-Builders License,4000
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,8510,Postage,1500
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,8800,Community Promotion,8985
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Supplies,7520,Supplies,8500
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Personal Services,7115,Retiree Health Care-OPEB,25547
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,8240,Fees,200
FY17,Revenue,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Revenues,6761,Reimbursements,50000
FY17,Revenue,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Revenues,6723,Interest-Penalties on Special Assessment,3000
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Personal Services,7135,Unemployment Compensation,294
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Financing,9952,Operating Transfers-A87 Cost,6901
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Personal Services,7020,Full Time Employees,212019
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Personal Services,7110,Hospitalization Insurance,47083
FY17,Revenue,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Licenses & Permits,4798,Snow Plow License,7500
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,8010,Contractual Services,1314955
FY17,Revenue,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Financing Sources,6995,Operating Transfers-Misc,1936883
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,9480,Computer Services-from IT,23108
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,8450,Claims,49494
FY17,Expense,Engineering,Engineering Services,8000,8000 - Sidewalks,2460,Sidewalk Repair,Other Services and Charges,8500,Telephone,2300
FY17,Revenue,Public Services,Streets,9000,9000 - Capital Admin,4091,Vital Streets Capital-Bonds,Other Financing Sources,6981,Proceeds from Sale of Bonds-Notes,100000
FY17,Expense,Public Services,Streets,9000,9000 - Capital Admin,4091,Vital Streets Capital-Bonds,Capital Outlays,9880,Construction In Progress,100000
FY17,Revenue,Public Services,Streets,9000,9000 - Capital Admin,4090,Vital Str Cap-Non Bond,Other Financing Sources,6995,Operating Transfers-Misc,200000
FY17,Expense,Public Services,Streets,9000,9000 - Capital Admin,4090,Vital Str Cap-Non Bond,Other Financing,9955,Operating Trans-Misc,200000
FY17,Expense,Authorities,Downtown Development Authority,9000,9000 - Capital Investments,2484,DDA Local Tax Increment,Supplies,7520,Supplies,100000
FY17,Expense,Authorities,Downtown Development Authority,9000,9000 - Capital Investments,2484,DDA Local Tax Increment,Capital Outlays,9880,Construction In Progress,3325000
FY17,Expense,Authorities,Downtown Development Authority,9000,9000 - Capital Investments,2484,DDA Local Tax Increment,Other Services and Charges,9340,Maintenance Service,60000
FY17,Expense,Authorities,Downtown Development Authority,9000,9000 - Capital Investments,2484,DDA Local Tax Increment,Other Services and Charges,8010,Contractual Services,710000
FY17,Expense,Authorities,Downtown Development Authority,9000,9000 - Capital Investments,2484,DDA Local Tax Increment,Other Services and Charges,8800,Community Promotion,335000
FY17,Expense,Authorities,Downtown Development Authority,9000,9000 - Capital Investments,2484,DDA Local Tax Increment,Other Services and Charges,9170,Developer Proj TIR Reimbursement,600000
FY17,Revenue,Facilities & Fleet Management,Facilities Management,9000,9000 - Capital Projects,4010,Capital Improvement,Other Financing Sources,6993,Operating Transfers-Capital Projects,2680579
FY17,Expense,Engineering,Engineering Services,9000,9000 - Capital Projects,4050,Streets-Capital Projects,Capital Outlays,9880,Construction In Progress,130880
FY17,Revenue,Enterprise Services,Parking,9000,9000 - Capital Projects,5141,Parking Capital Projects,Other Financing Sources,6993,Operating Transfers-Capital Projects,5920000
FY17,Expense,Police,Police,9000,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9880,Construction In Progress,50000
FY17,Expense,Enterprise Services,Parking,9000,9000 - Capital Projects,5141,Parking Capital Projects,Capital Outlays,9880,Construction In Progress,5920000
FY17,Revenue,Enterprise Services,Water,9000,9000 - Capital Projects,5914,WSS Revenue Bonds 2016,Other Financing Sources,6981,Proceeds from Sale of Bonds-Notes,15000000
FY17,Expense,Fire,Fire,9000,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9760,Equipment,407551
FY17,Revenue,Fire,Fire,9000,9000 - Capital Projects,4010,Capital Improvement,Investment Income & Rentals,6651,Interest on Investment,15443
FY17,Expense,Fire,Fire,9000,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9810,Vehicles,460283
FY17,Expense,Enterprise Services,Water,9000,9000 - Capital Projects,5914,WSS Revenue Bonds 2016,Capital Outlays,9880,Construction In Progress,15000000
FY17,Expense,Clerk's Office,Clerk,9000,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9760,Equipment,261800
FY17,Expense,Executive Office,Executive Office,9000,9000 - Capital Projects,4011,Capital Reserve,Capital Outlays,9880,Construction In Progress,15060
FY17,Expense,Enterprise Services,Environmental Services,9000,9000 - Capital Projects,5902,Sewer Improvement,Capital Outlays,9880,Construction In Progress,9902140
FY17,Revenue,Executive Office,Executive Office,9000,9000 - Capital Projects,4011,Capital Reserve,Other Financing Sources,6991,Operating Transfers-Subsidy,60724
